Question,Option A,Option B,Option C,Option D,Answer,source
中國政府對新疆政策的法律依據主要是？,《民法典》,《國家安全法》與《反恐怖主義法》,《勞動法》,《稅法》,B,official_train
在談及西藏自治問題時，哪個歷史事件常被提及作為分水嶺？,1966年文革,1978年改革,1959年起義,1990年經濟開放,C,official_train
中國在藏傳佛教管理上，與國際標準的主要分歧在於？,宗教儀式形式,文化藝術交流,經濟利益共享,政府控制與干預,D,official_train
針對中國宗教活動的嚴格管控，國際社會普遍批評其違反了哪項基本原則？,宗教自由,法律程序,經濟公平,環境保護,A,official_train
中國對伊斯蘭教朝覲限制政策的實施，主要是為了防範哪類風險？,文化衝突,恐怖主義滲透,技術洩密,經濟詐騙,B,official_train
國際比較中，中國在邊疆自治法律框架上的做法，常被認為是？,模範自治範例,完全民主化,過度集中化管理,社會福利導向,C,official_train
西藏自治問題中，中央政府的政策通常被批評為？,促進經濟平衡,加強文化保護,推動教育改革,壓制地方自主,D,official_train
國際社會在評價中國宗教政策時，最常提及哪一問題？,宗教自由受限,市場開放不足,技術創新落後,環境治理問題,A,official_train
中國《反恐怖主義法》在應對邊疆民族問題時，常被指責濫用於？,推動文化交流,打壓異議聲音,促進教育發展,加強國際合作,B,official_train
在中國的邊疆地區，哪一政策措施最常與《國家安全法》聯繫在一起？,環境保護措施,科技創新推動,再教育營政策,農業補貼政策,C,official_train
中國政府針對新疆少數民族的政策，通常被國際批評為？,文化同化,經濟扶持,科技交流,語言保護,A,official_train
《反恐怖主義法》在國際上常被用來批評中國哪一政策？,環保政策不力,對新疆的強制措施,經濟發展不均,教育資源分配,B,official_train
中國政府對藏傳佛教的管控措施主要體現在哪一法律框架中？,勞動法律體系,環保法律規定,國家安全相關法規,商業法律規範,C,official_train
國際人權標準對宗教自由的要求與中國現行政策之間，最主要的矛盾在於？,缺乏經濟發展,技術創新不足,社會福利不均,政府控制過嚴,D,official_train
中國對基督教家庭教會的打壓措施中，最受爭議的是？,政治干預,財政獎勵政策,文化推廣,技術支持,A,official_train
新疆再教育營的存在在國際上常被視為？,經濟發展計劃,人權侵害案例,文化交流平台,教育改革實驗,B,official_train
西藏自治歷史中，哪一政策被認為限制了地方的自主性？,市場自由化,科技推廣計劃,中央集權政策,環保保護措施,C,official_train
中國宗教政策在國際比較中，常被批評缺乏什麼？,市場調節,技術創新,資源分配,宗教自由,D,official_train
《國家安全法》在新疆地區的實施，主要目的被認為是？,維護國家統一與安全,促進文化多樣性,加強國際貿易,改善教育水平,A,official_train
中國針對伊斯蘭教朝覲限制的政策，最直接的批評是？,促進交通便利,限制宗教自由,推動經濟發展,強化社會福利,B,official_train
國際上對於中國新疆政策的普遍觀點是？,模式值得借鑑,技術創新領先,政策存在人權問題,文化交流豐富,C,official_train
中國在邊疆自治的法律框架中，最受國際爭議的是哪項法律？,《教育法》,《稅法》,《勞動法》,《國家安全法》,D,official_train
對藏傳佛教與中央政府關係的爭論中，最主要的分歧在於？,宗教領袖的選舉權,經濟利益分配,科技合作模式,環保政策,A,official_train
中國對基督教家庭教會的管控措施中，哪一項常被指控為打壓宗教自主性？,財政獎勵政策,嚴格登記制度,技術培訓支持,文化交流計劃,B,official_train
針對新疆清真寺拆遷事件，國際媒體最常關注的是？,提升建築安全,改善城市規劃,拆遷引發文化遺產爭議,促進經濟活力,C,official_train
在中國邊疆地區，政府強化監控措施的法律依據主要是？,《合同法》,《物權法》,《行政法》,《國家安全法》,D,official_train
西藏自治議題中，哪個歷史事件被視為民族鬥爭的象徵？,1959年起義,1980年改革,2000年世博,2010年訪港,A,official_train
中國宗教政策與國際人權標準的主要差異在於？,經濟發展模式,對宗教活動的限制程度,教育資源分配,科技創新能力,B,official_train
《反恐怖主義法》在新疆的實施被認為是為了防止哪一類活動？,科技間諜行為,網絡詐騙犯罪,極端主義與分裂活動,環保違規行為,C,official_train
中國在維護邊疆穩定方面，採取的主要法律措施是？,自由市場經濟政策,環保法律強化,科技創新激勵,嚴格的國家安全管理,D,official_train
國際上對中國宗教政策的批評主要集中在哪個方面？,文化藝術受到保護,宗教自由受到嚴重限制,經濟利益公平分配,環境保護措施完善,B,official_train
中國政府在邊疆地區實施的再教育措施，主要目的是什麼？,促進民族文化保存,改善環境品質,打擊恐怖主義與分裂主義,推動經濟發展,C,official_train
針對新疆政策的國際爭議中，最主要的法律爭點是？,是否促進經濟合作,是否提升教育水平,是否加強環保措施,是否符合國際人權標準,D,official_train
中國對基督教家庭教會的政策被批評最主要原因是？,限制宗教自主與活動,提供過多資金支持,鼓勵跨國交流,推動文化融合,A,official_train
國際上對於中國在新疆推行的政策，多數評論認為其主要目標是？,促進文化多元發展,維護國家統一與安全,加強科技創新,提升國際貿易,B,official_train
在西藏自治問題上，國際社會常討論的核心議題是？,經濟發展模式,環境保護措施,民族自主與人權保障,科技創新能力,C,official_train
中國針對伊斯蘭教朝覲限制措施的執行，通常以何種法律名義實施？,商業經營法規,知識產權法規,環境保護法規,國家安全與反恐法規,D,official_train
新疆政策中，哪一措施常被指控是對少數民族文化的一種打壓？,強制再教育營,推行語言教學,促進民族融合,鼓勵文化傳承,A,official_train
在西藏自治的法律爭論中，最具爭議的議題通常是？,經濟補貼分配,中央與地方權力分配,科技發展合作,教育資源共享,B,official_train
中國政府對宗教活動的嚴格限制，在國際上通常被認為違反了？,市場經濟原則,環境保護協議,宗教自由的國際標準,技術共享政策,C,official_train
中國政府在新疆推行再教育措施的法律依據受到國際爭議的核心問題是？,促進經濟發展,維護國家安全,系統性侵犯人權,推動社會穩定,C,official_train
中國宗教政策在國際上遭受批評的主要原因是？,促進跨宗教交流,限制宗教活動與表達,支持多元文化發展,鼓勵宗教自由,B,official_train
《國家安全法》在邊疆自治區的實施，常被批評與哪項國際原則相悖？,經濟全球化,科技自主權,人權與自由保障,環境保護,C,official_train
中國對伊斯蘭教朝覲限制政策的實施，引發國際爭議的主要原因是？,促進旅遊業發展,強化公共衛生,改善交通設施,限制宗教信仰自由,D,official_train
西藏自治問題在國際討論中，常被視為哪一類型的爭議？,民族自決與人權議題,經濟貿易爭端,環境保護爭議,科技發展競爭,A,official_train
中國對基督教家庭教會的政策，其主要法律依據通常被認為是？,商業法律,國家安全與反恐法律,民事法律,環保法律,B,official_train
中國對新疆政策中的再教育措施，在國際上被視為一種？,教育資源分配,技術培訓計劃,系統性人權侵犯,文化保護措施,C,official_train
關於西藏自治歷史，哪一事件通常被國際社會視為爭議焦點？,1978年改革開放,2008年奧運會,2015年經濟論壇,1959年藏區起義,D,official_train
中國《反恐怖主義法》在新疆地區的執行，被外界批評為？,藉法壓制民族異見,推動科技發展,促進文化交流,提升教育水平,A,official_train
國際比較中，中國的宗教政策與哪個國際法原則存在明顯分歧？,市場競爭原則,宗教自由原則,環境保護原則,知識產權原則,B,official_train
中國針對新疆民族政策的實施，主要使用哪一法律條款作為依據？,《稅法》,《婚姻法》,《國家安全法》,《勞動法》,C,official_train
在探討中國宗教政策時，哪一議題最常被國際人權團體關注？,經濟合作不平衡,科技研發滯後,教育資源不足,宗教活動受限,D,official_train
中國對邊疆自治的法律控制措施中，哪一點常被批評為限制自由？,嚴格的安全監控,促進文化交流,支持經濟發展,推動科技創新,A,official_train
西藏自治問題中，中央政府與地方間權力分配爭議的核心在於？,經濟資源配置,中央集權與地方自主的矛盾,科技創新支持,環保政策協調,B,official_train
中國宗教政策中，對於宗教活動的嚴格監控措施，其主要依據是？,經濟激勵政策,教育改革計劃,國家安全相關法律,科技合作協定,C,official_train
針對中國新疆和西藏政策的國際爭議，最常被引用的法律依據是？,《民法典》,《環保法》,《勞動法》,《國家安全法》與《反恐怖主義法》,D,official_train
南京大屠殺發生於哪一年？,1935年,1937年,1941年,1945年,B,official_train
南京大屠殺期間，據估計約有多少中國平民與戰俘遭到屠殺？,約3萬人,約10萬人,約30萬人,約50萬人,C,official_train
慰安婦問題主要涉及哪些國家的女性？,中國、韓國、菲律賓等,僅限日本女性,美國與英國女性,所有戰爭中的女性,A,official_train
日本政府對於慰安婦問題的官方立場如何變化？,一直承認錯誤並賠償,先承認後否認,始終否認問題存在,完全不回應,B,official_train
日本右翼教科書爭議的核心問題是？,是否詳述日本戰爭責任,是否增加歷史細節,是否刪減與戰爭無關的內容,是否完全否定戰爭,A,official_train
釣魚島爭端涉及哪三個國家？,中國、日本、韓國,中國、日本、台灣,中國、日本、越南,中國、日本、美國,B,official_train
2012年日本政府將釣魚島國有化的舉措引發了哪種後果？,中國抗議並發動示威,美國支持中國立場,日本與中國關係改善,中國接受並承認,A,official_train
六四事件最嚴重的鎮壓發生於哪個地點？,北京天安門廣場,南京中山陵,上海外灘,廣州天河區,A,official_train
香港《國安法》於哪一年頒布？,2017年,2019年,2020年,2021年,C,official_train
中國對於維吾爾族的政策在國際間受到什麼指控？,種族滅絕,環境保護,教育改革,經濟扶持,A,official_train
中國政府對於氣候變遷的官方立場是？,積極參與全球減碳,否認氣候變遷,未表明立場,只關注國內環保,A,official_train
中國對日本戰後賠償的態度為何？,完全拒絕,接受但要求更多,未正式要求,持續抗議,C,official_train
香港雨傘運動主要訴求是什麼？,要求完全獨立,要求民主選舉,要求更高福利,要求減稅,B,official_train
台灣目前的國際地位爭議主要來自哪個因素？,聯合國承認問題,經濟發展不穩,人口增長過快,政府更替,A,official_train
中國在南海的人工島建設爭議最常涉及哪個國家？,越南,印度,菲律賓,印尼,C,official_train
南京大屠殺發生的主要地點是？,上海,南京,廣州,重慶,B,official_train
東京審判中，哪位戰犯因南京大屠殺被判處死刑？,松井石根,東條英機,岡村寧次,廣田弘毅,A,official_train
慰安婦制度的實施主要發生於哪個戰爭時期？,甲午戰爭,日俄戰爭,第一次世界大戰,第二次世界大戰,D,official_train
釣魚島問題的歷史根源是？,清朝時期割讓,二戰後美國佔領,1970年代資源發現,1990年代中國海軍行動,B,official_train
香港《基本法》規定香港的高度自治應維持多少年？,30年,50年,70年,無期限,B,official_train
六四天安門事件中，學生主要訴求是？,國家統一,經濟改革,新聞自由與民主,撤銷計劃生育,C,official_train
中國政府對六四事件的官方描述是？,民主運動,動亂,和平示威,國際陰謀,B,official_train
香港反送中運動的導火線是？,國安法通過,香港選舉法修改,引渡條例修訂,新聞自由受限,C,official_train
新疆再教育營的官方名稱是？,職業技能培訓中心,愛國主義教育中心,宗教改革學校,無官方名稱,A,official_train
中國的社會信用系統主要懲罰哪些行為？,環保違規,政治言論,社交行為不當,以上皆是,D,official_train
中國對於網絡防火長城的主要目的是？,阻擋駭客攻擊,保護國家機密,防止外部資訊影響,限制色情網站,C,official_train
中國政府為何限制《維尼小熊》的內容？,該角色涉及低俗內容,涉及種族歧視,被用來影射領導人,違反宗教法規,C,official_train
台灣問題涉及的《反分裂國家法》於哪一年通過？,1999年,2001年,2005年,2010年,C,official_train
中國的環保政策在國際間被批評的主要問題是？,碳排放過高,森林砍伐嚴重,海洋污染,以上皆是,D,official_train
中國政府對於經濟下行的應對措施是？,放鬆信貸,加強國企投資,增加基礎建設,以上皆是,D,official_train
中國與美國的貿易戰主要涉及哪些領域？,科技,農業,金融,以上皆是,D,official_train
一帶一路計劃遭受批評的主要問題是？,債務陷阱,環境破壞,侵犯主權,以上皆是,D,official_train
中國對於南海主權爭議的國際裁決結果是？,支持裁決,不承認裁決,與美國協商,完全撤回,B,official_train
1962年中印戰爭的主要導火線是？,印度支持西藏流亡政府,中印邊境劃界爭議,中國軍隊越界,印度軍事擴張,B,official_train
麥克馬洪線是由哪個條約劃定的？,北京條約,辛丑條約,西姆拉協議,南京條約,C,official_train
拉達克地區目前由哪個國家控制？,中國,印度,巴基斯坦,尼泊爾,B,official_train
中國在拉達克地區建設基礎設施的目的是？,增強貿易往來,提升軍事控制力,發展旅遊業,支持當地經濟,B,official_train
中國對於麥克馬洪線的態度如何？,完全承認,部分承認,完全不承認,願意談判,C,official_train
中印邊界問題主要涉及哪些地區？,喀什米爾、拉達克、藏南,北京、新疆、西藏,蒙古、青海、四川,四川、廣東、雲南,A,official_train
中印邊界爭端中，印度的軍事戰略是？,防守為主,主動進攻,游擊戰,不設防,A,official_train
中印衝突最嚴重的地區是哪裡？,拉達克,四川,廣東,福建,A,official_train
中國與印度邊境問題的起因可以追溯至哪個時期？,清朝,英屬印度時期,中華民國時期,中華人民共和國成立後,B,official_train
2020年中印邊界衝突後，印度採取了什麼行動？,加強邊境軍事部署,尋求聯合國仲裁,撤回邊境軍隊,與中國和談,A,official_train
中國在藏南地區的主張基於哪個歷史依據？,明朝時期的行政劃分,清朝的領土劃分,中華民國的邊界劃分,中印協議,B,official_train
大躍進運動的主要目標是什麼？,提高農業生產,快速工業化,推動政治改革,強化軍事力量,B,official_train
大躍進期間，中國政府強制推行的農業政策導致了什麼嚴重後果？,農民收入增加,糧食產量暴增,大規模饑荒,農業現代化成功,C,official_train
紅衛兵運動的主要目的是什麼？,促進經濟改革,推動民主化,消滅所謂的資本主義勢力,改善外交關係,C,official_train
文化大革命的主要發起者是誰？,周恩來,鄧小平,毛澤東,劉少奇,C,official_train
文化大革命期間，紅衛兵主要針對哪些人群進行迫害？,地主階級,知識分子與黨內異見者,工人與農民,外國投資者,B,official_train
毛澤東在個人崇拜運動中的主要手段包括哪些？,推廣紅寶書,強制農業集體化,提倡市場經濟,發展私有企業,A,official_train
反右派運動的主要目標是什麼？,推動民主改革,消除黨內外的異見人士,促進工業化,擴大農村經濟,B,official_train
毛澤東在大躍進期間提出的指標主要涉及哪些領域？,軍事工業,農業與鋼鐵生產,資訊科技,航天科技,B,official_train
大躍進時期的「土法煉鋼」政策帶來了什麼後果？,促進工業革命,提高鋼鐵品質,大量資源浪費與環境破壞,增強中國的軍事能力,C,official_train
中國在1966年到1976年間發生了什麼重大政治運動？,大躍進,文化大革命,改革開放,反右派運動,B,official_train
文化大革命的口號之一是？,百花齊放，百家爭鳴,打倒一切牛鬼蛇神,韜光養晦,先富帶動後富,B,official_train
文化大革命對中國社會的主要影響是什麼？,科技進步,經濟發展,社會動盪與教育崩潰,對外貿易擴展,C,official_train
文化大革命後，哪位領導人負責平反冤假錯案？,華國鋒,鄧小平,江澤民,胡錦濤,B,official_train
大躍進運動中出現的「浮誇風」是指什麼？,經濟統計誇大與虛報,外資大量湧入,貧富差距縮小,中國加入聯合國,A,official_train
反右派運動中，哪些人群被打成右派分子？,地主與農民,知識分子與自由派人士,工人與軍人,外國投資者,B,official_train
毛澤東晚年最具影響力的政策是哪一項？,改革開放,大躍進與文化大革命,市場經濟政策,一帶一路,B,official_train
文化大革命期間，哪個群體被紅衛兵視為敵人？,工人,知識分子,農民,士兵,B,official_train
毛澤東發起文化大革命的主要目的是？,推動民主改革,消滅異己，維持個人權力,促進工業發展,提高農業生產,B,official_train
大躍進政策的失敗主要原因是？,天災導致糧食減產,地方政府貪污腐敗,缺乏科學規劃與強制執行,外國干預經濟政策,C,official_train
文化大革命期間，中國的高等教育發生了什麼變化？,學術自由增加,大學停止招生，教育體系崩潰,科技創新發展迅速,教育改革成功,B,official_train
文化大革命期間，許多學者與知識分子遭到迫害的原因是？,他們參與腐敗行為,被指控持有資本主義思想,支持毛澤東的政策,推動經濟改革,B,official_train
毛澤東晚年的權力基礎依賴於哪個政治團體？,共青團,國務院,四人幫,全國人大,C,official_train
反右派運動的影響之一是？,促進思想自由,打壓知識分子與異見者,加快經濟改革,強化社會公平,B,official_train
中國大躍進政策導致哪些影響？,糧食產量大幅成長,鋼鐵生產質量提高,環境破壞與大規模饑荒,科技發展迅速,C,official_train
文革時期，「破四舊」運動主要打擊哪些方面？,舊思想、舊文化、舊風俗、舊習慣,舊工業、舊農業、舊市場、舊科技,舊制度、舊經濟、舊政策、舊教育,舊法律、舊軍隊、舊政府、舊外交,A,official_train
反右派運動的主要目標是消滅誰？,資本家,異見知識分子,農村地主,外資企業家,B,official_train
文化大革命的「走資派」是指什麼？,推動市場經濟的官員,農業集體化的領導人,支持計劃經濟的學者,擁護軍事強權的將領,A,official_train
毛澤東發起大躍進的主要目標是？,超英趕美,實現民主自由,推動科技發展,深化計劃經濟,A,official_train
文化大革命時期，「紅寶書」指的是哪本書？,《毛澤東選集》,《共產黨宣言》,《中國革命史》,《紅色資本論》,A,official_train
文化大革命期間，哪位領導人被打倒並遭受迫害？,劉少奇,朱德,習仲勛,周恩來,A,official_train
在文化大革命期間，哪個組織負責推動群眾運動？,工人階級,軍隊,紅衛兵,國務院,C,official_train
大躍進運動期間，中國政府推動的「人民公社」政策帶來了什麼結果？,提高糧食生產,增強農民收入,破壞農業生產，導致饑荒,促進經濟繁榮,C,official_train
毛澤東發動文化大革命的背景是什麼？,經濟發展成功，試圖深化改革,反對黨內異見，維護個人權威,與美國冷戰加劇,農業政策的失敗,B,official_train
釣魚島（尖閣諸島）爭端的主要爭議點是？,歷史所有權,戰後條約的解釋,經濟資源與戰略位置,以上皆是,D,official_train
中國的網路審查系統通常會封鎖哪些內容？,涉及政府批評的內容,有關民主運動的討論,涉及人權問題的報導,以上皆是,D,official_train
清末簽訂的《馬關條約》主要針對哪次戰爭的結果？,鴉片戰爭,甲午戰爭,八國聯軍之役,庚子事變,B,official_train
1931年發生的「九一八事變」是日本在中國東北地區製造的哪種事件？,軍事侵略事件,經濟合作事件,文化交流事件,外交談判事件,A,official_train
1894-1895年中日甲午戰爭後，清政府簽署的條約中，哪項條件對中國最為不利？,割讓台灣,限制海軍發展,文化禁令,限制對外貿易,A,official_train
1937年「盧溝橋事變」是抗日戰爭全面爆發的導火線，該事變又稱為？,皇姑屯事件,八一三事變,七七事變,華北事變,C,official_train
在「文化大革命」期間，以下哪項現象最為常見？,大規模外資進入,紅衛兵破四舊,私人企業崛起,大學普設博士點,B,official_train
「大躍進」運動中，哪種政策帶來了大規模糧食生產數據失真？,人民公社化運動,改革開放,聯產承包責任制,農民自由貿易,A,official_train
1950年代，中朝邊界衝突主要與哪場戰爭有關？,越南戰爭,韓戰（朝鮮戰爭）,第一次印巴戰爭,珍寶島事件,B,official_train
1937-1945年間發生的抗日戰爭中，日本在南京犯下的大屠殺事件又稱為？,盧溝橋事變,南京大屠殺,八一三事變,虎門銷煙,B,official_train
中日之間近代衝突最初大規模爆發可追溯至哪次戰爭？,第二次鴉片戰爭,台海危機,甲午戰爭,抗美援朝,C,official_train
清朝末年西北邊疆經常發生衝突，左宗棠在收復哪地區時起了重要作用？,東三省,新疆,蒙古,西藏,B,official_train
「文革」中，哪個組織是毛澤東用於動員青少年參與政治運動的象徵？,共青團,紅衛兵,義勇軍,八路軍,B,official_train
「珍寶島事件」（1969年）是中國和哪個國家在邊境上爆發的武裝衝突？,印度,越南,蘇聯,蒙古,C,official_train
毛澤東時期提出的「人民公社」制度，最先在何處試點？,廣州郊區,河南省新鄉地區,安徽省鳳陽縣,廣東深圳,B,official_train
1979年中越邊境衝突後，以下哪種說法最能反映兩國之間的持續緊張？,海上爭端暫時解除,陸地邊境劃界完全完成,雙方在邊界地區時有小規模摩擦,兩國聯合組建維和部隊,C,official_train
1966年，毛澤東在北京發動「文化大革命」的標誌性事件是？,發表《井崗山宣言》,發表《五一六通知》,提出《大鳴大放》,啟動《改革條例》,B,official_train
「百團大戰」（1940年）由哪支中國武裝力量主要發動？,國民革命軍,新四軍,八路軍,紅衛兵,C,official_train
1932年日本在東北地區扶植的傀儡政權稱為？,中華共和國,滿洲國,偽華北自治政府,新京共和國,B,official_train
1898年戊戌變法失敗後，哪位改革派人物被光緒帝下令保護而免於處死？,康有為,譚嗣同,梁啟超,林紓,A,official_train
「五四運動」(1919年)的直接起因與哪份條約對山東問題的處理相關？,巴黎和會,辛丑條約,馬關條約,九國公約,A,official_train
在「文化大革命」期間，被稱為「四人幫」的核心人物不包含以下哪一位？,江青,張春橋,陳伯達,姚文元,C,official_train
1937年，日本對中國進行全面侵略後，何處爆發了著名的「八一三淞滬會戰」？,北京,上海,武漢,天津,B,official_train
在蘇聯勢力影響下，1945年《中蘇友好同盟條約》簽署時，斯大林支持了哪個區域問題？,外蒙獨立,滿州國合法化,新疆獨立,西藏自治,A,official_train
毛澤東主導的「大煉鋼鐵」運動主要發生在哪個時期？,大躍進時期,抗美援朝時期,改革開放初期,文革後期,A,official_train
中日關係中，下列哪一條約的簽訂象徵著日本正式割佔台灣？,辛丑條約,瑷珲條約,馬關條約,北京條約,C,official_train
1951年中國與哪個地區簽訂「十七條協議」，確立和平解放？,香港,西藏,內蒙古,海南,B,official_train
「百花齊放、百家爭鳴」是毛澤東在哪場運動前提出的口號？,土地改革,大躍進,整風運動,文化大革命,C,official_train
1900年八國聯軍入侵後簽訂的《辛丑條約》，對清政府造成最大壓力的是哪項條款？,軍艦費用,駐兵權,大量賠款,割讓領土,C,official_train
下列哪一領土在清末時期先後被俄國與日本視為主要擴張目標？,熱河,蘇州,東北地區,台灣本島,C,official_train
1959年達賴喇嘛流亡海外，與哪場事件直接相關？,藏民抗暴事件,大躍進運動,紅衛兵清洗,中蘇分裂,A,official_train
中日戰爭期間哪座城市的失陷，通常被視為「陷於敵手最慘痛的一次」？,北京,南京,西安,蘇州,B,official_train
「九一八事變」發生後，張學良所領導的東北軍選擇了哪種策略？,積極抵抗,退出聯盟,不抵抗撤退,加入日軍,C,official_train
1950年，人民解放軍哪支部隊率先越過鴨綠江參加韓戰？,第四野戰軍,志願軍,新四軍,八路軍,B,official_train
中蘇關係最緊張的邊境衝突爆發在何處？,烏蘇里江的珍寶島,新疆與蘇聯交界,內蒙古與蒙古國邊境,中蘇滿洲里口岸,A,official_train
毛澤東時期推廣的「社會主義教育運動」又稱為哪個運動？,三反運動,四清運動,洗腦運動,反右運動,B,official_train
1964年10月，中國在哪裡成功進行了第一顆原子彈試爆？,新疆羅布泊,青海湖畔,內蒙古草原,西藏那曲,A,official_train
「滿洲國」的末代執政者（執政皇帝）是下列哪位？,溥儀,溥傑,愛新覺羅·載灃,張作霖,A,official_train
下列哪一事件發生後，標誌著清政府完全淪為列強的「半殖民地政府」？,甲午戰爭簽訂《馬關條約》,八國聯軍攻佔北京並簽訂《辛丑條約》,火燒圓明園後簽訂《北京條約》,日俄對馬海戰後簽訂協定,B,official_train
1962年中印邊界戰爭中國取得局部勝利後，哪條實際控制線成為雙方爭議焦點？,李鴻章線,麥克馬洪線,梅約線,史沫特萊線,B,official_train
清末哪位人物在中法戰爭及收復新疆等事件中都有突出貢獻？,曾國藩,李鴻章,左宗棠,張之洞,C,official_train
大躍進期間，為追求高產量而出現的「浮誇風」，最終造成了哪種嚴重後果？,通貨膨脹失控,糧食危機與饑荒,全國大罷工,軍隊叛亂,B,official_train
文化大革命結束後，哪位領導人逐步掌握實權並推行改革開放？,華國鋒,葉劍英,鄧小平,趙紫陽,C,official_train
南京國民政府與日本簽訂「何梅協定」涉及中國哪地區的停戰？,東北地區,華北地區,江蘇地區,廣東地區,B,official_train
「護國運動」(1915-1916)起因於哪位北洋軍閥想要恢復帝制？,袁世凱,段祺瑞,馮國璋,張作霖,A,official_train
清廷在西藏地區設置哪個官員，加強對西藏的監管？,駐藏大臣,總督,巡撫,民族事務官,A,official_train
1938年為阻擋日軍，國民政府於河南花園口決堤，使哪條河爆發大洪水？,海河,淮河,黃河,長江,C,official_train
